"gender","year","region","name","count"
"male",1995,"Brussels","Steve",8
"male",1995,"Brussels","Sylvain",8
"male",1995,"Brussels","Théo",8
"male",1995,"Brussels","Achraf",7
"male",1995,"Brussels","Adnane",7
"male",1995,"Brussels","Alan",7
"male",1995,"Brussels","Christian",7
"male",1995,"Brussels","Didier",7
"male",1995,"Brussels","Edouard",7
"male",1995,"Brussels","Elie",7
"male",1995,"Brussels","Enes",7
"male",1995,"Brussels","Eric",7
"male",1995,"Brussels","Gauthier",7
"male",1995,"Brussels","Gil",7
"male",1995,"Brussels","Glenn",7
"male",1995,"Brussels","John",7
"male",1995,"Brussels","Joseph",7
"male",1995,"Brussels","Maximilien",7
"male",1995,"Brussels","Michel",7
"male",1995,"Brussels","Mickaël",7
"male",1995,"Brussels","Mikaël",7
"male",1995,"Brussels","Nassim",7
"male",1995,"Brussels","Onur",7
"male",1995,"Brussels","Paul",7
"male",1995,"Brussels","Philippe",7
"male",1995,"Brussels","Rayan",7
"male",1995,"Brussels","Salim",7
"male",1995,"Brussels","Sebastien",7
"male",1995,"Brussels","Selim",7
"male",1995,"Brussels","Steven",7
"male",1995,"Brussels","Abdelkarim",6
"male",1995,"Brussels","Abdessamad",6
"male",1995,"Brussels","Alessio",6
"male",1995,"Brussels","Anouar",6
"male",1995,"Brussels","Brahim",6
"male",1995,"Brussels","Clément",6
"male",1995,"Brussels","Colin",6
"male",1995,"Brussels","Fatih",6
"male",1995,"Brussels","Gregory",6
"male",1995,"Brussels","Hakan",6
"male",1995,"Brussels","Harold",6
"male",1995,"Brussels","Hasan",6
"male",1995,"Brussels","Iliass",6
"male",1995,"Brussels","Ivan",6
"male",1995,"Brussels","Jules",6
"male",1995,"Brussels","Kadir",6
"male",1995,"Brussels","Marouane",6
"male",1995,"Brussels","Massimo",6
"male",1995,"Brussels","Max",6
"male",1995,"Brussels","Mehmet",6
"male",1995,"Brussels","Moussa",6
"male",1995,"Brussels","Nadir",6
"male",1995,"Brussels","Nicola",6
"male",1995,"Brussels","Niels",6
"male",1995,"Brussels","Othmane",6
"male",1995,"Brussels","Patrick",6
"male",1995,"Brussels","Redouan",6
"male",1995,"Brussels","Rémy",6
"male",1995,"Brussels","Renaud",6
"male",1995,"Brussels","Sofiane",6
"male",1995,"Brussels","Tarek",6
"male",1995,"Brussels","Tiago",6
"male",1995,"Brussels","Younès",6
"male",1995,"Brussels","Zakariya",6
"male",1995,"Brussels","Angelo",5
"male",1995,"Brussels","Badr",5
"male",1995,"Brussels","Baptiste",5
"male",1995,"Brussels","Bradley",5
"male",1995,"Brussels","Brice",5
"male",1995,"Brussels","Francesco",5
"male",1995,"Brussels","Gaspard",5
"male",1995,"Brussels","Hassan",5
"male",1995,"Brussels","Henri",5
"male",1995,"Brussels","Igor",5
"male",1995,"Brussels","Ismail",5
